"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"BZ1";"Buzzer_15x7.5RM7.6";1;"Buzzer";;;
2;"J2,J6";"PinHeader_1x08_P2.54mm_Vertical";2;"Conn_01x08";;;
3;"J4";"PinHeader_1x06_P2.54mm_Vertical";1;"Conn_01x06";;;
4;"U3";"TO-220-3_Vertical";1;"L7805";;;
5;"U2";"SOIC-18W_7.5x11.6mm_P1.27mm";1;"ULN2803A";;;
6;"SW2,SW1";"SW_PUSH_6mm";2;"SW_Push";;;
7;"R4";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"R";;;
8;"R3,R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"1k";;;
9;"Q1";"TO-92_Inline";1;"2N7000";;;
10;"J5";"BarrelJack_Horizontal";1;"Barrel_Jack";;;
11;"FB1";"LairdTech_28C0236-0JW-10";1;"FerriteBead";;;
12;"D2,D1";"LED_D3.0mm";2;"LED";;;
13;"C8,C7";"C_Disc_D5.0mm_W2.5mm_P5.00mm";2;"1u";;;
14;"C4,C3";"C_Disc_D5.0mm_W2.5mm_P5.00mm";2;"22pF";;;
15;"Y1";"Crystal_HC49-4H_Vertical";1;"16MHz";;;
16;"U1";"DIP-28_W7.62mm";1;"ATmega328-P";;;
17;"C6,C2";"C_Disc_D5.0mm_W2.5mm_P5.00mm";2;"100nF";;;
18;"R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"10k";;;
19;"J1";"PinHeader_2x03_P2.54mm_Vertical";1;"Conn_02x03_Odd_Even";;;
20;"J3";"PinHeader_1x08_P2.54mm_Vertical";1;"Conn_01x08_Pin";;;
